Batch ,Sample_ID
186,NH20-2697
188,NH20-2750
188,NH20-2761
188,NH20-2771
189,NH20-2801
189,NH20-2803
189,NH20-2811
190,NH20-2430
190,NH20-2699
190,NH20-2723
190,NH20-2828
191,NH20-2665
191,NH20-2700
191,NH20-2760
191,NH20-2881
191,NH20-2906
192,NH20-2767
192,NH20-2903
192,NH20-2913
192,NH20-2914
192,NH20-2915
193,NH20-2945
193,NH20-2954
195,NH20-2916
195,NH20-3000
195,NH21-20
195,NH21-21
195,NH21-7
196,NH20-2973
196,NH21-34
196,NH21-37
196,NH21-46
196,NH21-47
197,NH21-26
197,NH21-45
197,NH21-48
197,NH21-53
197,NH21-59
198,NH20-3024
198,NH21-101
198,NH21-102
198,NH21-103
198,NH21-104
198,NH21-120
198,NH21-95
199,NH21-135
200,NH21-157
200,NH21-159
200,NH21-160
200,NH21-79
201,NH21-139
201,NH21-164
202,NH06-876
203,NH21-178
203,NH21-209
203,NH21-220
203,NH21-251
204,NH21-130
204,NH21-271
204,NH21-279
204,NH21-280
204,NH21-76
205,NH21-288
205,NH21-314
205,NH21-316
206,NH20-3030
206,NH21-329
206,NH21-358
206,NH21-359
206,NH21-383
207,NH21-335
207,NH21-386
207,NH21-393
207,NH21-423
207,NH21-424
208,NH21-306
208,NH21-430
208,NH21-475
209,NH21-379
209,NH21-404
209,NH21-414
209,NH21-481
210,NH21-470
210,NH21-511
210,NH21-524
210,NH21-532
211,NH21-538
211,NH21-555
211,NH21-573
211,NH21-587
212,NH19-2014
212,NH21-607
212,NH21-610
213,NH21-492
213,NH21-544
213,NH21-595
213,NH21-689
213,NH21-694
214,NH21-641
214,NH21-701
214,NH21-702
214,NH21-703
215,NH21-725
215,NH21-766
215,NH21-767
215,NH21-779
216,NH21-742
216,NH21-743
216,NH21-758
217,NH21-807
217,NH21-841
217,NH21-910
218,NH21-887
218,NH21-888
220,NH21-799
220,NH21-910
221,NH21-942
221,NH21-972
222,NH21-1009
222,NH21-858
222,NH21-983
223,NH21-1053
223,NH21-1125
223,NH21-881
224,NH21-1121
224,NH21-1132
224,NH21-1139
224,NH21-1149
224,NH21-1167
224,NH21-1173
224,NH21-985
225,NH21-1031
225,NH21-1110
225,NH21-1163
225,NH21-1190
226,NH21-1199
226,NH21-1229
227,NH21-1245
227,NH21-1248
228,NH18-2117
228,NH21-1278
228,NH21-1315
228,NH21-1332
228,NH21-1333
229,NH21-1297
229,NH21-1335
229,NH21-1344
230,NH21-1192
230,NH21-1263
230,NH21-1356
230,NH21-1411
231,NH21-1298
231,NH21-1438
231,NH21-1456
231,NH21-1460
231,NH21-1465
231,NH21-799
232,NH21-1429
232,NH21-1474
233,NH21-1442
233,NH21-1524
233,NH21-1572
233,NH21-1589
234,NH21-1256
234,NH21-1545
234,NH21-1549
234,NH21-1570
235,NH21-1587
235,NH21-1588
236,NH21-1420
236,NH21-1580
236,NH21-1604
236,NH21-1613
237,NH21-1546
237,NH21-1585
237,NH21-1610
237,NH21-1635
238,NH21-1617
238,NH21-1661
238,NH21-1676
239,NH21-1637
239,NH21-1652
239,NH21-1729
240,NH21-1699
240,NH21-1702
240,NH21-1739
241,NH21-1537
241,NH21-1717
241,NH21-1749
242,NH21-1474
242,NH21-1523
242,NH21-1645
242,NH21-1768
243,NH21-1790
243,NH21-1805
243,NH21-1811
244,NH21-1783
244,NH21-1828
245,NH21-1852
245,NH21-1875
246,NH21-1885
246,NH21-1913
246,NH21-1934
246,NH21-1944
247,NH21-1947
247,NH21-1954
247,NH21-1977
248,NH14-2217
249,NH17-540
250,NH05-418
250,NH21-1961
250,NH21-1966
251,NH21-1852
251,NH21-2009
251,NH21-2015
251,NH21-2027
252,NH21-1996
252,NH21-1997
252,NH21-1998
252,NH21-1999
252,NH21-2000
252,NH21-2001
252,NH21-2002
252,NH21-2003
253,NH21-1970
254,NH21-1752
254,NH21-2025
254,NH21-2045
254,NH21-2052
254,NH21-2053
254,NH21-2064
255,NH21-2063
255,NH21-2083
256,NH21-2088
256,NH21-2102
256,NH21-2137
257,NH21-2151
257,NH21-2163
258,NH21-2202
258,NH21-2213
258,NH21-2215
259,NH21-2210
259,NH21-2270
260,NH21-1972
260,NH21-2279
260,NH21-2292
261,NH21-2261
261,NH21-2298
261,NH21-2308
261,NH21-2309
262,NH21-2026
262,NH21-2240
262,NH21-2336
263,NH21-2294
263,NH21-2426
264,NH21-2371
264,NH21-2373
264,NH21-2391
277,NH21-2456
277,NH21-2459
278,NH21-2214
278,NH21-2471
278,NH21-2491
279,NH21-2490
279,NH21-2537
279,NH21-2546
280,NH21-1864
280,NH21-2502
280,NH21-2548
280,NH21-2576
281,NH21-1864
281,NH21-2561
281,NH21-2577
281,NH21-2588
281,NH21-2592
281,NH21-2636
282,NH20-749
282,NH21-2379
282,NH21-2601
282,NH21-2634
283,NH21-2624
283,NH21-2632
285,NH17-570
285,NH20-875
285,NH21-2546
285,NH21-2618
285,NH21-2699
285,NH21-2700
285,NH21-2706
286,NH21-2400
286,NH21-2693
286,NH21-2709
286,NH21-2710
286,NH21-2714
286,NH21-2722
287,NH18-1724
287,NH21-2736
287,NH21-2758
287,NH21-2762
287,NH21-2766
288,NH21-2730
288,NH21-2733
288,NH21-2755
288,NH21-2780
288,NH21-2801
289,NH21-1864
289,NH21-2499
289,NH21-2689
289,NH21-2775
289,NH21-2797
289,NH21-2803
291,NH21-2571
291,NH21-2871
292,NH14-1021
292,NH21-2863
292,NH21-2893
292,NH21-2898
293,NH21-2911
293,NH21-2930
294,NH16-1084
295,NH16-1084
296,NH21-2939
296,NH21-2956
297,NH21-2805
297,NH21-2919
297,NH21-2946
298,NH21-2962
298,NH21-2963
298,NH21-2968
298,NH21-2977
299,NH21-2973
299,NH21-2992
299,NH21-3006
299,NH21-3028
300,NH21-2993
300,NH21-3008
300,NH21-3012
300,NH21-3036
301,NH21-3029
302,NH21-3055
302,NH21-3065
302,NH21-3071
302,NH21-3082
302,NH21-3090
303,NH16-456
303,NH21-3051
303,NH21-3073
303,NH21-3081
303,NH21-3086
303,NH21-3124
304,NH21-2882
304,NH21-2952
304,NH21-2954
304,NH21-3118
304,NH21-3234
305,NH21-3027
305,NH21-3142
305,NH21-3153
306,NH21-3167
306,NH21-3199
307,NH21-3175
307,NH21-3188
307,NH21-3210
307,NH21-3213
308,NH21-3227
308,NH21-3231
308,NH21-3238
308,NH21-3243
308,NH21-3251
309,NH21-3255
309,NH21-3262
309,NH21-3276
309,NH21-3284
309,NH21-3298
310,NH21-3104
310,NH21-3257
310,NH21-3265
310,NH21-3267
310,NH21-3287
311,NH21-3318
311,NH21-3321
311,NH21-3326
311,NH21-3328
312,NH21-3354
312,NH21-3357
312,NH21-3360
313,NH21-3350
313,NH21-3351
313,NH21-3356
314,NH21-3402
314,NH21-3404
314,NH22-18
315,NH22-22
315,NH22-45
316,NH21-3253
316,NH22-55
316,NH22-73
316,NH22-76
316,NH22-79
316,NH22-81
316,NH22-82
317,NH22-106
317,NH22-116
318,NH16-158
318,NH17-1108
318,NH22-107
318,NH22-114
318,NH22-143
319,NH12-1777
319,NH22-147
319,NH22-175
319,NH22-202
319,NH22-54
320,NH22-168
320,NH22-171
320,NH22-188
320,NH22-190
323,NH21-3401
323,NH22-209
323,NH22-211
323,NH22-214
323,NH22-225
324,NH22-235
324,NH22-251
324,NH22-284
325,NH22-176
325,NH22-237
325,NH22-238
325,NH22-299
325,NH22-81
326,NH22-314
326,NH22-317
326,NH22-320
327,NH22-312
328,NH22-321
328,NH22-359
328,NH22-392
331,NH14-176
331,NH21-3217
331,NH22-214
331,NH22-390
331,NH22-396
332,NH22-366
332,NH22-395
333,NH22-279
333,NH22-417
333,NH22-434
333,NH22-448
334,NH14-1617
334,NH22-443
334,NH22-455
334,NH22-465
334,NH22-472
335,NH22-392
335,NH22-452
335,NH22-496
335,NH22-506
336,NH22-513
336,NH22-522
337,NH22-520
337,NH22-557
337,NH22-561
337,NH22-563
337,NH22-572
337,NH22-573
337,NH22-586
338,NH22-548
338,NH22-560
338,NH22-625
339,NH20-25
339,NH22-469
339,NH22-607
340,NH14-633
340,NH22-567
340,NH22-639
340,NH22-653
340,NH22-670
343,NH22-579
343,NH22-709
343,NH22-720
343,NH22-723
344,NH22-747
344,NH22-785
344,NH22-794
345,NH22-582
345,NH22-768
345,NH22-792
345,NH22-803
345,NH22-804
347,NH22-823
347,NH22-841
348,NH22-800
348,NH22-847
348,NH22-851
348,NH22-858
348,NH22-860
348,NH22-861
349,NH22-583
349,NH22-685
349,NH22-857
349,NH22-868
350,NH22-905
350,NH22-908
350,NH22-909
350,NH22-910
351,NH22-892
351,NH22-912
351,NH22-923
351,NH22-934
351,NH22-950
352,NH22-866
352,NH22-974
352,NH22-981
352,NH22-982
353,NH22-1004
353,NH22-1013
353,NH22-931
